Dates_issued,Main_Allocation,Voucher_No.,Type_Product,Vaccines/diluents & Supplies,Batch_No., Qty_issued 
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,dil_BCG,0709S4036,66 000
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,MR,0129W197,39 000
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,dil_MR,0689S1224,39 000
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,bOPV,PB42001194,182 000
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC620AB,24 000
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,IPV,1932003A,12 600
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,PCV-13,CN5673,28 800
15-Aug-20,Niassa,48/PAV-DNV/2020,VAC/DIL,DTP-HepB-Hib,220100720A,88 300
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,BCG,0379G134,48 000
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,dil_BCG,0709S4036,48 000
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,MR,0129W197,24 000
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,dil_MR,0689S1224,5 900
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,dil_MR,0689S1223,18 100
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,bOPV,PB42001193,30 520
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,bOPV,PB42001194,54 660
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,bOPV,PB42001195,49 120
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,Rota_liq,AROLC620AB,8 700
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,IPV,1932003A,8 550
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,PCV-13,CN9516,13 600
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,PCV-13,CN5673,9 800
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,TT,2309L002B,12 000
17-Aug-20,Provincia de Maputo,51/PAV-DNV/2020,VAC/DIL,DTP-HepB-Hib,220100720A,84 480
